distance,std,rssi,correlation,invalid_01,invalid_02
18,0.555181,-75,0.128136,0.378690,0.555181
18,0.566876,-74,0.016518,0.384576,0.566876
18,0.131962,-74,0.231417,0.382672,0.566876
18,0.154267,-74,0.196343,0.377184,0.566876
18,0.196211,-73,0.254783,0.372840,0.566876
18,0.177219,-73,0.232870,0.365282,0.566876
18,0.108358,-73,0.382187,0.359001,0.566876
18,0.094113,-73,0.474529,0.355333,0.566876
18,0.072184,-74,0.630446,0.351528,0.566876
18,0.099455,-74,0.431974,0.344634,0.566876
18,0.297967,-74,0.312266,0.340717,0.566876
18,0.098930,-74,0.508877,0.335914,0.566876
18,0.106180,-74,0.463517,0.329581,0.566876
18,0.290214,-75,0.124809,0.330875,0.566876
18,0.430871,-76,0.082798,0.329926,0.566876
18,0.474044,-74,0.180697,0.333006,0.566876
18,0.297467,-73,0.276387,0.334011,0.566876
18,0.140384,-74,0.544833,0.330341,0.566876
18,0.120737,-74,0.550764,0.322656,0.566876
18,0.080676,-74,0.612007,0.314729,0.566876
18,0.097420,-74,0.620739,0.306416,0.566876
18,0.117673,-74,0.518374,0.297925,0.566876
18,0.108251,-74,0.529722,0.291828,0.566876
18,0.144110,-73,0.181092,0.286539,0.566876
18,0.399099,-73,0.029656,0.285780,0.566876
18,0.506665,-76,0.099774,0.288878,0.566876
18,0.423882,-75,0.088078,0.293145,0.566876
18,0.136483,-73,0.476131,0.287630,0.566876
18,0.144904,-73,0.438993,0.283812,0.566876
18,0.201979,-73,0.395087,0.278137,0.566876
18,0.331044,-73,0.165932,0.278918,0.566876
15,0.387003,-75,0.353680,0.277139,0.566876
15,0.402718,-77,-0.040577,0.282149,0.566876
15,0.301315,-76,0.307385,0.284817,0.566876
15,0.359551,-71,0.274282,0.289283,0.566876
15,0.390220,-72,0.140491,0.289558,0.566876
15,0.448077,-74,0.077590,0.293033,0.566876
15,0.324767,-69,0.320337,0.293218,0.566876
15,0.231289,-69,0.578088,0.294068,0.566876
15,0.334274,-73,0.266996,0.295209,0.566876
15,0.400631,-69,0.427613,0.291515,0.555181
15,0.401961,-74,0.175096,0.288110,0.506665
15,0.472966,-74,-0.043644,0.288246,0.506665
15,0.376759,-72,0.361124,0.289648,0.506665
15,0.131064,-70,0.705092,0.282499,0.506665
15,0.112881,-69,0.806592,0.278730,0.506665
15,0.183356,-68,0.727511,0.275009,0.506665
15,0.097141,-69,0.859897,0.266716,0.506665
15,0.353971,-72,0.268636,0.264231,0.506665
15,0.315083,-74,0.134702,0.261351,0.506665
15,0.361717,-68,0.235731,0.258130,0.474044
15,0.164814,-69,0.640899,0.251258,0.472966
15,0.335046,-71,0.396536,0.255771,0.472966
15,0.328698,-72,0.413009,0.259648,0.472966
15,0.327989,-72,0.226055,0.262576,0.472966
15,0.339066,-71,0.186405,0.266173,0.472966
15,0.232597,-69,0.399197,0.268933,0.472966
15,0.366158,-72,0.119811,0.274912,0.472966
15,0.321536,-72,0.223053,0.279892,0.472966
15,0.336357,-70,0.215610,0.285156,0.472966
15,0.221210,-70,0.226256,0.283451,0.472966
15,0.305006,-69,0.041213,0.288030,0.472966
15,0.212623,-69,0.359855,0.290396,0.472966
15,0.276117,-70,0.375891,0.290082,0.472966
15,0.244801,-70,0.381970,0.285948,0.472966
15,0.429896,-70,0.340014,0.284990,0.448077
15,0.167417,-70,0.386444,0.282100,0.448077
15,0.267575,-70,0.298787,0.284927,0.448077
15,0.377872,-70,0.204120,0.290641,0.448077
15,0.119402,-69,0.598710,0.290889,0.448077
15,0.183917,-69,0.451484,0.292467,0.448077
15,0.216474,-69,0.241693,0.294663,0.448077
