distance,std,rssi,correlation,invalid_01,invalid_020;
0.121262;-9;0.734757;0.000000;0.000000
"2,25;0.029496;-60;0.952709;0.000000;0.000000"
"2,25;0.036350;-60;0.926930;0.000000;0.000000"
"2,25;0.025541;-58;0.956237;0.000000;0.000000"
"2,25;0.029355;-60;0.948602;0.000000;0.000000"
"2,25;0.116669;-59;0.834811;0.000000;0.000000"
"2,25;0.016489;-58;0.927631;0.000000;0.000000"
"2,25;0.019320;-59;0.961177;0.000000;0.000000"
"2,25;0.010566;-57;0.966006;0.000000;0.000000"
"2,25;0.006863;-57;0.980230;0.000000;0.000000"
"2,25;0.013278;-58;0.961439;0.000000;0.000000"
"2,5;0.070309;-65;0.750413;0.000000;0.000000"
"2,5;0.046074;-66;0.764401;0.000000;0.000000"
"2,5;0.079403;-65;0.658299;0.000000;0.000000"
"2,5;0.033236;-66;0.820779;0.000000;0.000000"
"2,5;0.077487;-66;0.635764;0.000000;0.000000"
"2,5;0.065812;-66;0.698684;0.000000;0.000000"
"2,5;0.152031;-65;0.456330;0.000000;0.000000"
"2,5;0.068338;-65;0.623609;0.000000;0.000000"
"2,5;0.141624;-65;0.343542;0.000000;0.000000"
"2,5;0.042267;-65;0.841679;0.000000;0.000000"
"2,5;0.048690;-65;0.809307;0.000000;0.000000"
"2,5;0.092908;-66;0.646417;0.000000;0.000000"
"2,5;0.107513;-66;0.515384;0.000000;0.000000"
"2,5;0.209693;-65;0.323794;0.000000;0.000000"
"2,5;0.133765;-65;0.403599;0.000000;0.000000"
"2,5;0.153120;-65;0.313329;0.000000;0.000000"
"2,5;0.036590;-63;0.790199;0.000000;0.000000"
"2,5;0.028242;-62;0.833762;0.000000;0.000000"
"2,5;0.043931;-62;0.760259;0.000000;0.000000"
"2,5;0.033644;-63;0.887506;0.000000;0.000000"
"2,5;0.057145;-63;0.759433;0.000000;0.000000"
"2,5;0.042076;-64;0.805907;0.000000;0.000000"
"2,5;0.026813;-63;0.844820;0.000000;0.000000"
"2,5;0.042389;-63;0.735286;0.000000;0.000000"
"2,5;0.040902;-60;0.847853;0.000000;0.000000"
